,index,model,latency,lag,dataset,#task,tasks,image_dir,task_names
0,1,yolov3,0.02380138045311208,56,coco_val,38,35 19 68 27 20 71 57 63 56 70 8 25 54 32 38 57 16 62 11 56 8 50 56 58 44 19 19 18 19 18 17 26 24 19 56 8 50 26,/datasets/coco/val/val2017,"baseball glove,cow,microwave,tie,elephant,sink,couch,laptop,chair,toaster,boat,umbrella,donut,sports ball,tennis racket,couch,dog,tv,stop sign,chair,boat,broccoli,chair,potted plant,spoon,cow,cow,sheep,cow,sheep,horse,handbag,backpack,cow,chair,boat,broccoli,handbag"
1,2,yolov3,0.23867820303732096,10,coco_val,14,26 19 37 47 31 5 10 1 72 33 36 71 38 13,/datasets/coco/val/val2017,"handbag,cow,surfboard,apple,snowboard,bus,fire hydrant,bicycle,refrigerator,kite,skateboard,sink,tennis racket,bench"
2,3,yolov3,0.001000869729826298,39,coco_val,5,53 24 50 43 38,/datasets/coco/val/val2017,"pizza,backpack,broccoli,knife,tennis racket"
3,4,yolov3,0.009954257956083007,73,coco_val,7,18 10 6 50 54 9 67,/datasets/coco/val/val2017,"sheep,fire hydrant,train,broccoli,donut,traffic light,cell phone"
4,5,yolov3,0.003051023815373809,85,coco_val,16,53 31 60 65 48 44 46 64 38 63 75 39 2 24 62 62,/datasets/coco/val/val2017,"pizza,snowboard,dining table,remote,sandwich,spoon,banana,mouse,tennis racket,laptop,vase,bottle,car,backpack,tv,tv"
5,6,yolov3,0.0020174950186510657,45,coco_val,6,64 38 21 70 21 10,/datasets/coco/val/val2017,"mouse,tennis racket,bear,toaster,bear,fire hydrant"
6,7,yolov3,1.0041195572696948,63,coco_val,6,2 33 16 58 72 47,/datasets/coco/val/val2017,"car,kite,dog,potted plant,refrigerator,apple"
7,8,yolov3,0.013826311124165784,43,coco_val,27,11 52 56 13 49 77 51 53 56 21 9 62 29 60 30 74 29 59 23 31 19 55 15 35 52 16 0,/datasets/coco/val/val2017,"stop sign,hot dog,chair,bench,orange,teddy bear,carrot,pizza,chair,bear,traffic light,tv,frisbee,dining table,skis,clock,frisbee,bed,giraffe,snowboard,cow,cake,cat,baseball glove,hot dog,dog,person"
8,9,yolov3,0.020405222454246003,12,coco_val,7,8 77 64 17 74 25 63,/datasets/coco/val/val2017,"boat,teddy bear,mouse,horse,clock,umbrella,laptop"
9,10,yolov3,1.0600689722030725,94,coco_val,1,37,/datasets/coco/val/val2017,surfboard
10,11,yolov3,1.0241976764854352,93,coco_val,2,60 0,/datasets/coco/val/val2017,"dining table,person"
11,12,yolov3,0.18278061086053066,58,coco_val,2,9 22,/datasets/coco/val/val2017,"traffic light,zebra"
12,13,yolov3,0.004730456019236172,64,coco_val,9,9 28 46 54 59 61 27 24 64,/datasets/coco/val/val2017,"traffic light,suitcase,banana,donut,bed,toilet,tie,backpack,mouse"
13,14,yolov3,1.7919394857632782,42,coco_val,24,69 62 2 28 19 19 26 68 42 76 5 46 7 11 43 21 35 34 35 30 8 5 59 71,/datasets/coco/val/val2017,"oven,tv,car,suitcase,cow,cow,handbag,microwave,fork,scissors,bus,banana,truck,stop sign,knife,bear,baseball glove,baseball bat,baseball glove,skis,boat,bus,bed,sink"
14,15,yolov3,1.0012314230163175,38,coco_val,6,31 15 46 40 9 60,/datasets/coco/val/val2017,"snowboard,cat,banana,wine glass,traffic light,dining table"
15,16,yolov3,1.1633929681885458,65,coco_val,4,61 2 34 77,/datasets/coco/val/val2017,"toilet,car,baseball bat,teddy bear"
16,17,yolov3,1.0238525969617345,92,coco_val,14,73 57 26 67 31 14 55 39 67 69 35 62 69 27,/datasets/coco/val/val2017,"book,couch,handbag,cell phone,snowboard,bird,cake,bottle,cell phone,oven,baseball glove,tv,oven,tie"
17,18,yolov3,0.06986374821360371,41,coco_val,3,31 23 8,/datasets/coco/val/val2017,"snowboard,giraffe,boat"
18,19,yolov3,0.0029068424602160426,38,coco_val,9,53 10 4 26 43 67 40 75 48,/datasets/coco/val/val2017,"pizza,fire hydrant,airplane,handbag,knife,cell phone,wine glass,vase,sandwich"
19,20,yolov3,0.0045075334436504464,84,coco_val,6,27 25 76 15 36 33,/datasets/coco/val/val2017,"tie,umbrella,scissors,cat,skateboard,kite"
20,21,yolov3,1.4398269532608905,18,coco_val,31,43 77 72 27 62 1 27 46 61 7 60 36 60 38 34 31 30 29 73 2 0 32 16 51 62 34 35 29 24 76 5,/datasets/coco/val/val2017,"knife,teddy bear,refrigerator,tie,tv,bicycle,tie,banana,toilet,truck,dining table,skateboard,dining table,tennis racket,baseball bat,snowboard,skis,frisbee,book,car,person,sports ball,dog,carrot,tv,baseball bat,baseball glove,frisbee,backpack,scissors,bus"
21,22,yolov3,2.571305045718855,42,coco_val,15,7 25 48 43 40 11 72 65 53 31 46 21 4 29 13,/datasets/coco/val/val2017,"truck,umbrella,sandwich,knife,wine glass,stop sign,refrigerator,remote,pizza,snowboard,banana,bear,airplane,frisbee,bench"
22,23,yolov3,1.010829854290236,18,coco_val,7,43 60 65 19 56 62 5,/datasets/coco/val/val2017,"knife,dining table,remote,cow,chair,tv,bus"
23,24,yolov3,0.19292020778203706,94,coco_val,10,53 76 17 18 47 31 25 36 32 75,/datasets/coco/val/val2017,"pizza,scissors,horse,sheep,apple,snowboard,umbrella,skateboard,sports ball,vase"
