,query_index,qgetSelectivityuery,#predicate,mdist,qdist,constraint,bound,approach,selected_model,pareto_model,#pareto,non_pareto_model,#non_pareto,pareto_ratio,accuracy,cost,optimization_time,data_process_time,query
0,1,,2,uniform,uniform,cost,150.0,baseline_pareto,person.model_41|book.model_82,person.model_41|book.model_82,2,,0,1.0,0.8760999999999999,110.0,0.0003,0.0037,book | person
1,1,,2,uniform,uniform,cost,100.0,baseline_pareto,book.model_138|person.model_41,book.model_138|person.model_41,2,,0,1.0,0.8739999999999999,87.0,0.0002,0.003,book | person
2,1,,2,uniform,uniform,cost,50.0,baseline_pareto,,,0,,0,0.0,0.0,0.0,0.0003,0.0025,book | person
3,1,,2,uniform,uniform,cost,50.0,baseline_pareto,,,0,,0,0.0,0.0,0.0,0.0003,0.0022,book | person
4,1,,2,uniform,uniform,cost,100.0,baseline_pareto,book.model_138|person.model_41,book.model_138|person.model_41,2,,0,1.0,0.8739999999999999,87.0,0.0001,0.0028,book | person
5,1,,2,uniform,uniform,cost,150.0,baseline_pareto,book.model_82|person.model_41,book.model_82|person.model_41,2,,0,1.0,0.8760999999999999,110.0,0.0001,0.0027,book | person
6,0,,4,uniform,uniform,cost,150.0,baseline_pareto,refrigerator.model_105|skis.model_30|baseball_bat.model_90|wine_glass.model_41,refrigerator.model_105|skis.model_30|baseball_bat.model_90|wine_glass.model_41,4,,0,1.0,0.7528038399999999,148.0,0.0005,0.0038,(baseball_bat & skis & refrigerator) | wine_glass
7,0,,4,uniform,uniform,cost,100.0,baseline_pareto,refrigerator.model_108|wine_glass.model_38|baseball_bat.model_30|skis.model_30,refrigerator.model_108|wine_glass.model_38|baseball_bat.model_30|skis.model_30,4,,0,1.0,0.7395718000000001,92.0,0.0012,0.0028,(baseball_bat & skis & refrigerator) | wine_glass
8,0,,4,uniform,uniform,cost,50.0,baseline_pareto,,,0,,0,0.0,0.0,0.0,0.0002,0.0029,(baseball_bat & skis & refrigerator) | wine_glass
9,0,,4,uniform,uniform,cost,50.0,baseline_pareto,,,0,,0,0.0,0.0,0.0,0.0002,0.0029,(baseball_bat & skis & refrigerator) | wine_glass
10,0,,4,uniform,uniform,cost,100.0,baseline_pareto,baseball_bat.model_30|skis.model_30|wine_glass.model_38|refrigerator.model_108,baseball_bat.model_30|skis.model_30|wine_glass.model_38|refrigerator.model_108,4,,0,1.0,0.7395718000000001,92.0,0.0003,0.0039,(baseball_bat & skis & refrigerator) | wine_glass
11,0,,4,uniform,uniform,cost,150.0,baseline_pareto,baseball_bat.model_30|refrigerator.model_105|wine_glass.model_38|skis.model_66,baseball_bat.model_30|refrigerator.model_105|wine_glass.model_38|skis.model_66,4,,0,1.0,0.7439008,148.0,0.0006,0.0037,(baseball_bat & skis & refrigerator) | wine_glass
12,7,,4,uniform,uniform,cost,150.0,baseline_pareto,bowl.model_140|bird.model_140|traffic_light.model_141|book.model_82,bowl.model_140|bird.model_140|traffic_light.model_141|book.model_82,4,,0,1.0,0.8769339999999999,150.0,0.0002,0.0034,(book & bird) | traffic_light | bowl
13,7,,4,uniform,uniform,cost,100.0,baseline_pareto,traffic_light.model_38|book.model_140|bird.model_133|bowl.model_133,traffic_light.model_38|book.model_140|bird.model_133|bowl.model_133,4,,0,1.0,0.8788523800000001,100.0,0.0002,0.0028,(book & bird) | traffic_light | bowl
14,7,,4,uniform,uniform,cost,50.0,baseline_pareto,,,0,,0,0.0,0.0,0.0,0.0006,0.0025,(book & bird) | traffic_light | bowl
15,7,,4,uniform,uniform,cost,50.0,baseline_pareto,,,0,,0,0.0,0.0,0.0,0.0006,0.0036,(book & bird) | traffic_light | bowl
16,7,,4,uniform,uniform,cost,100.0,baseline_pareto,bird.model_140|bowl.model_140|book.model_140|traffic_light.model_141,bird.model_140|bowl.model_140|book.model_140|traffic_light.model_141,4,,0,1.0,0.8746120000000001,89.0,0.0004,0.0034,(book & bird) | traffic_light | bowl
17,7,,4,uniform,uniform,cost,150.0,baseline_pareto,traffic_light.model_38|book.model_140|bird.model_140|bowl.model_89,traffic_light.model_38|book.model_140|bird.model_140|bowl.model_89,4,,0,1.0,0.8831169999999999,141.0,0.0006,0.0026,(book & bird) | traffic_light | bowl
18,6,,4,uniform,uniform,cost,150.0,baseline_pareto,bottle.model_82|person.model_41|cell_phone.model_41|bus.model_130,bottle.model_82|person.model_41|cell_phone.model_41|bus.model_130,4,,0,1.0,0.94389642,145.0,0.0002,0.0026,bus & person | cell_phone | bottle
19,6,,4,uniform,uniform,cost,100.0,baseline_pareto,bottle.model_30|bus.model_30|person.model_41|cell_phone.model_41,bottle.model_30|bus.model_30|person.model_41|cell_phone.model_41,4,,0,1.0,0.9370567999999998,73.0,0.0002,0.004,bus & person | cell_phone | bottle
20,6,,4,uniform,uniform,cost,50.0,baseline_pareto,person.model_32|bus.model_30|cell_phone.model_30|bottle.model_30,person.model_32|bus.model_30|cell_phone.model_30|bottle.model_30,4,,0,1.0,0.9259368,50.0,0.0002,0.0024,bus & person | cell_phone | bottle
21,6,,4,uniform,uniform,cost,50.0,baseline_pareto,person.model_32|cell_phone.model_30|bottle.model_30|bus.model_30,person.model_32|cell_phone.model_30|bottle.model_30|bus.model_30,4,,0,1.0,0.9259368,50.0,0.0002,0.003,bus & person | cell_phone | bottle
22,6,,4,uniform,uniform,cost,100.0,baseline_pareto,bus.model_30|bottle.model_30|cell_phone.model_41|person.model_41,bus.model_30|bottle.model_30|cell_phone.model_41|person.model_41,4,,0,1.0,0.9370567999999998,73.0,0.0002,0.0026,bus & person | cell_phone | bottle
23,6,,4,uniform,uniform,cost,150.0,baseline_pareto,bottle.model_82|bus.model_130|cell_phone.model_41|person.model_41,bottle.model_82|bus.model_130|cell_phone.model_41|person.model_41,4,,0,1.0,0.94389642,145.0,0.0002,0.0029,bus & person | cell_phone | bottle
