,index,model,root,type,latency,probability,cost,#task,tasks
0,1,yolov3,ultralytics/yolov3,OD,45,0.76,39,12,airplane bench dog sheep zebra backpack handbag knife tv laptop keyboard toothbrush
1,2,yolov3,ultralytics/yolov3,OD,48,0.764,39,8,bird bear suitcase skateboard apple dining_table remote clock
2,3,yolov3,ultralytics/yolov3,OD,1,0.7,39,14,person traffic_light fire_hydrant frisbee snowboard sports_ball baseball_bat cup knife potted_plant dining_table remote oven scissors
3,4,yolov3,ultralytics/yolov3,OD,4,0.705,39,10,dog elephant tie wine_glass fork banana cell_phone sink scissors teddy_bear
4,5,yolov3,ultralytics/yolov3,OD,4,0.705,39,14,elephant umbrella tie suitcase sports_ball kite baseball_glove tennis_racket bottle apple sandwich chair toaster refrigerator
5,6,yolov5x,ultralytics/yolov5,OD,40,0.821,101,17,motorcycle bird sheep elephant frisbee tennis_racket bottle spoon apple pizza couch bed toilet mouse microwave scissors toothbrush
6,7,yolov5x,ultralytics/yolov5,OD,10,0.7909999999999999,101,13,car traffic_light bench bear zebra handbag skateboard spoon banana mouse cell_phone microwave book
7,8,yolov5x,ultralytics/yolov5,OD,20,0.802,101,17,bicycle train boat cat dog umbrella handbag tie skis kite baseball_bat skateboard spoon bowl pizza cell_phone toaster
8,9,yolov5x,ultralytics/yolov5,OD,22,0.804,101,10,bus traffic_light horse cow handbag frisbee skateboard knife donut cell_phone
9,10,yolov5x,ultralytics/yolov5,OD,37,0.818,101,11,traffic_light parking_meter bird cow backpack handbag frisbee baseball_bat skateboard chair clock
10,11,yolov5x6,ultralytics/yolov5,OD,24,0.7809999999999999,78,18,person motorcycle traffic_light fire_hydrant dog cow umbrella frisbee hot_dog donut cake chair couch toilet keyboard toaster vase scissors
11,12,yolov5x6,ultralytics/yolov5,OD,7,0.762,78,13,truck bear giraffe umbrella tie potted_plant toilet tv mouse remote vase teddy_bear hair_drier
12,13,yolov5x6,ultralytics/yolov5,OD,25,0.782,78,16,bicycle motorcycle truck sheep elephant zebra backpack kite bottle bowl donut mouse cell_phone microwave clock scissors
13,14,yolov5x6,ultralytics/yolov5,OD,25,0.782,78,14,car stop_sign parking_meter cow suitcase baseball_glove sandwich pizza donut cake toilet tv keyboard scissors
14,15,yolov5x6,ultralytics/yolov5,OD,13,0.769,78,16,bus boat traffic_light cat backpack baseball_bat tennis_racket bottle wine_glass donut chair couch mouse keyboard microwave oven
15,16,yolov5m6,ultralytics/yolov5,OD,2,0.7240000000000001,54,16,person car cow zebra suitcase frisbee skis snowboard skateboard bottle cup fork bowl potted_plant bed microwave
16,17,yolov5m6,ultralytics/yolov5,OD,39,0.7709999999999999,54,8,truck fire_hydrant cow surfboard tennis_racket apple pizza couch
17,18,yolov5m6,ultralytics/yolov5,OD,40,0.772,54,12,fire_hydrant bench horse sheep skis snowboard orange donut sink refrigerator scissors toothbrush
18,19,yolov5m6,ultralytics/yolov5,OD,24,0.753,54,9,car airplane parking_meter zebra bottle wine_glass orange couch sink
19,20,yolov5m6,ultralytics/yolov5,OD,47,0.78,54,13,person car boat sheep elephant giraffe backpack frisbee cup orange carrot laptop book
20,21,nvidia_ssd,NVIDIA/DeepLearningExamples:torchhub,OD,25,0.8029999999999999,97,11,stop_sign frisbee banana sandwich broccoli cake bed toilet toaster book vase
21,22,nvidia_ssd,NVIDIA/DeepLearningExamples:torchhub,OD,18,0.795,97,14,bus boat traffic_light stop_sign cat kite baseball_bat surfboard bottle potted_plant tv microwave sink vase
22,23,nvidia_ssd,NVIDIA/DeepLearningExamples:torchhub,OD,38,0.815,97,8,person bus dog horse zebra broccoli cake remote
23,24,nvidia_ssd,NVIDIA/DeepLearningExamples:torchhub,OD,26,0.804,97,16,person airplane boat bench bear zebra giraffe fork pizza donut cake dining_table toilet tv remote scissors
24,25,nvidia_ssd,NVIDIA/DeepLearningExamples:torchhub,OD,14,0.7909999999999999,97,16,bus boat fire_hydrant parking_meter bench bird handbag suitcase sports_ball skateboard tennis_racket cup apple pizza mouse clock
25,26,fcn_resnet50,pytorch/vision:v0.10.0,Seg,9,0.7290000000000001,51,9,truck fire_hydrant sheep cow zebra tie cake book toothbrush
